,open,high,low,close,volume,value
2022-05-10 12:50:53.731880,29850.0,29850.0,29790.0,29850.0,82.87781626,2471340.7720991
2022-05-10 12:51:02.990268,29850.0,29850.0,29790.0,29850.0,82.87781626,2471340.7720991
2022-05-10 12:51:12.785375,29850.0,29850.0,29790.0,29850.0,82.87781626,2471340.7720991
2022-05-10 12:51:23.005807,29850.0,29850.0,29790.0,29850.0,82.87781626,2471340.7720991
2022-05-10 12:51:34.173195,29850.0,29850.0,29790.0,29850.0,82.87781626,2471340.7720991
2022-05-10 12:51:44.160188,29850.0,29850.0,29790.0,29850.0,82.87781626,2471340.7720991
2022-05-10 12:51:53.957182,29850.0,29850.0,29790.0,29850.0,82.87781626,2471340.7720991
2022-05-10 12:52:13.845687,29780.0,29780.0,29780.0,29780.0,0.5,14890.0
2022-05-10 12:52:33.771951,29780.0,29850.0,29780.0,29850.0,89.55245225,2673105.6996625
2022-05-10 12:52:51.064075,29780.0,29850.0,29780.0,29850.0,89.55245225,2673105.6996625
2022-05-10 12:52:58.957070,29780.0,29850.0,29780.0,29850.0,109.6328643,3272505.999355
2022-05-10 12:53:14.810975,29850.0,29850.0,29850.0,29850.0,11.11316582,331727.999727
2022-05-10 12:53:23.091046,29850.0,29850.0,29850.0,29850.0,11.11316582,331727.999727
2022-05-10 12:53:31.012154,29850.0,29850.0,29850.0,29850.0,11.11316582,331727.999727
2022-05-10 12:53:38.939218,29850.0,29850.0,29850.0,29850.0,11.11316582,331727.999727
2022-05-10 12:53:47.850212,29850.0,29850.0,29850.0,29850.0,11.11316582,331727.999727
2022-05-10 12:53:56.786059,29850.0,29850.0,29850.0,29850.0,11.11316582,331727.999727
2022-05-10 12:54:04.631899,29850.0,29850.0,29850.0,29850.0,11.11316582,331727.999727
2022-05-10 12:54:30.565811,29850.0,29850.0,29850.0,29850.0,18.43810385,550377.3999225
2022-05-10 12:54:38.911315,29850.0,29850.0,29850.0,29850.0,18.43810385,550377.3999225
2022-05-10 12:54:47.996062,29850.0,29850.0,29850.0,29850.0,18.43810385,550377.3999225
2022-05-10 12:54:57.300672,29850.0,29850.0,29850.0,29850.0,18.43810385,550377.3999225
2022-05-10 12:55:15.951994,29850.0,29850.0,29850.0,29850.0,18.43810385,550377.3999225
2022-05-10 12:55:25.989253,29850.0,29850.0,29850.0,29850.0,18.43810385,550377.3999225
2022-05-10 12:55:36.073964,29850.0,29850.0,29850.0,29850.0,18.43810385,550377.3999225
2022-05-10 12:55:45.852495,29850.0,29850.0,29850.0,29850.0,18.43810385,550377.3999225
2022-05-10 12:56:04.524202,29850.0,29850.0,29850.0,29850.0,18.43810385,550377.3999225
2022-05-10 12:56:14.351374,29840.0,29840.0,29840.0,29840.0,7.41458961,221251.3539624
2022-05-10 12:56:22.656368,29840.0,29840.0,29840.0,29840.0,7.91727057,236251.3538088
2022-05-10 12:56:31.953463,29840.0,29840.0,29840.0,29840.0,7.91727057,236251.3538088
2022-05-10 12:56:40.977961,29840.0,29840.0,29840.0,29840.0,7.91727057,236251.3538088
2022-05-10 12:57:09.185128,29840.0,29840.0,29840.0,29840.0,7.91727057,236251.3538088
2022-05-10 12:57:18.775215,29840.0,29840.0,29840.0,29840.0,0.17592995,5249.749708
2022-05-10 12:57:28.234303,29840.0,29840.0,29840.0,29840.0,0.17592995,5249.749708
2022-05-10 12:57:37.294041,29840.0,29840.0,29840.0,29840.0,0.17592995,5249.749708
2022-05-10 12:57:47.184269,29840.0,29840.0,29840.0,29840.0,52.17592995,1556929.749708
2022-05-10 12:58:06.253411,29840.0,29840.0,29840.0,29840.0,56.17592995,1676289.749708
2022-05-10 12:58:14.903482,29840.0,29840.0,29840.0,29840.0,56.17592995,1676289.749708
2022-05-10 12:58:23.846552,29840.0,29840.0,29840.0,29840.0,56.17592995,1676289.749708
2022-05-10 12:58:32.165547,29840.0,29840.0,29840.0,29840.0,56.17592995,1676289.749708
2022-05-10 12:58:39.703255,29840.0,29840.0,29840.0,29840.0,6.94947188,207372.2408992
2022-05-10 12:58:47.678934,29840.0,29840.0,29840.0,29840.0,6.94947188,207372.2408992
