1,2,3,4,5,6,7
,open,high,low,close,volume,value
12:32.2,184,184,183,183,150929.0742,27620403.1
12:41.7,184,184,183,183,150929.0742,27620403.1
12:50.9,184,184,183,183,150929.0742,27620403.1
12:59.8,184,184,183,183,150929.0742,27620403.1
13:09.7,184,184,183,183,150929.0742,27620403.1
13:18.4,184,184,183,183,150929.0742,27620403.1
13:26.8,184,184,183,183,150929.0742,27620403.1
13:35.3,184,184,183,183,150929.0742,27620403.1
13:43.2,182,182,182,182,27801.51482,5059875.697
13:51.8,182,182,182,182,27801.51482,5059875.697
14:07.8,182,182,182,182,27801.51482,5059875.697
14:16.8,182,182,182,182,1648.351648,300000
14:26.0,182,182,182,182,1648.351648,300000
14:34.9,182,182,182,182,1648.351648,300000
15:02.9,182,182,182,182,42091.98973,7660742.131
15:37.3,182,182,182,182,1792.72094,326275.2111
15:46.7,182,182,182,182,1792.72094,326275.2111
15:57.2,182,182,182,182,101837.3415,18534396.15
16:07.2,182,182,182,182,101837.3415,18534396.15
16:18.3,182,182,182,182,101837.3415,18534396.15
16:40.8,183,183,183,183,400,73200
16:52.7,183,183,183,183,400,73200
17:04.4,183,183,183,183,22535.81311,4124053.8
17:16.4,183,183,183,183,22535.81311,4124053.8
17:28.3,183,183,183,183,22699.74754,4154053.8
17:40.1,183,183,183,183,22699.74754,4154053.8
17:52.0,183,184,183,184,24600.61776,4503813.92
18:04.5,183,184,183,184,24600.61776,4503813.92
18:16.3,184,184,183,183,3873.5319,709352.9246
18:28.1,184,184,183,183,3873.5319,709352.9246
18:38.1,184,184,183,183,5076.89743,929568.8167
19:03.6,184,184,183,184,10543.27243,1935381.817
19:13.2,183,183,183,183,5753.243597,1052843.578
19:30.2,183,183,183,183,6440.979941,1178699.329
19:37.9,183,183,183,183,6440.979941,1178699.329
19:55.1,183,183,183,183,6440.979941,1178699.329
20:04.3,183,183,183,183,928.7912087,169968.7912
20:15.1,183,183,183,183,928.7912087,169968.7912
20:24.7,183,183,183,183,928.7912087,169968.7912
20:33.6,183,183,183,183,928.7912087,169968.7912
20:41.8,183,183,183,183,928.7912087,169968.7912
20:51.1,183,183,183,183,928.7912087,169968.7912
20:58.8,183,184,183,184,958.8458535,175498.8458
21:07.1,183,184,183,184,958.8458535,175498.8458
21:16.3,184,184,184,184,163.0434783,30000
21:25.6,184,184,184,184,63228.53653,11634050.72
21:35.4,184,184,184,184,63228.53653,11634050.72
21:45.6,184,184,184,184,63228.53653,11634050.72
21:54.6,184,184,184,184,63228.53653,11634050.72
22:02.2,184,184,184,184,65430.57457,12039225.72
22:11.0,184,184,184,184,65430.57457,12039225.72
22:37.6,184,184,184,184,43844.96339,8067473.263
22:55.8,184,184,184,184,43844.96339,8067473.263
23:05.1,184,184,184,184,43844.96339,8067473.263
23:14.7,184,184,184,184,43844.96339,8067473.263
23:23.8,184,184,184,184,43844.96339,8067473.263
23:32.7,184,184,184,184,43844.96339,8067473.263
23:41.9,184,184,184,184,43844.96339,8067473.263
23:51.1,184,184,184,184,620.184473,114113.943
24:00.7,184,184,184,184,620.184473,114113.943
24:09.8,184,184,184,184,620.184473,114113.943
24:17.8,184,184,184,184,620.184473,114113.943
24:42.3,184,184,183,183,10553.66792,1931468.84
24:59.9,184,184,183,183,120502.6701,22052136.23
25:08.7,184,184,183,183,120502.6701,22052136.23
25:34.3,183,183,182,182,1463.123122,267638.8535
25:52.1,183,183,182,182,1607.994536,294005.4508
26:00.9,183,183,182,183,31478.67844,5760340.605
26:09.9,183,183,183,183,27213.09922,4979997.157
26:18.2,183,183,183,183,27213.09922,4979997.157
